Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"com.CommonUtilities.Verifications.VerifyElementPresentAndStopExecutionIfFailed(findTestObject(""Object Repository/NacacStudentApp/HomePageElements/FavoriteHeaderInFavoritesPage""), ""Favorites header is not shown in Favorites page"")",Chrome 85.0.4183.121,,,2020-10-09 05:11:38,2020-10-09 05:11:39,0.406s,PASSED
"click(findTestObject(""Object Repository/NacacStudentApp/HomePageElements/ItinearariesTopNav""))",Chrome 85.0.4183.121,,,2020-10-09 05:11:39,2020-10-09 05:11:39,0.347s,PASSED
waitForPageLoad(0),Chrome 85.0.4183.121,,,2020-10-09 05:11:39,2020-10-09 05:11:39,0.019s,PASSED
"com.CommonUtilities.Verifications.VerifyTextMatch(getUrl(), studenturl + ""itineraries?activeTab=0"", ""When click My Schedule top nav the page is not opened"")",Chrome 85.0.4183.121,,,2020-10-09 05:11:39,2020-10-09 05:11:40,1.331s,FAILED
Start listener action : addFailedTCToList,Chrome 85.0.4183.121,,,2020-10-09 05:11:40,2020-10-09 05:11:40,0.149s,ERROR
Video,Chrome 85.0.4183.121,,,2020-10-09 05:11:42,2020-10-09 05:11:42,0.000s,PASSED
,,,,,,,
Test Cases/Conventions/NACAC smoke test/CollegesPageVerification,Chrome 85.0.4183.121,,,2020-10-09 05:11:42,2020-10-09 05:12:18,35.826s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.121,,,2020-10-09 05:11:42,2020-10-09 05:11:43,0.105s,ERROR
com.CommonUtilities.LoginAsDifferentUserPermissions.NavigateToNacacHomePage(),Chrome 85.0.4183.121,,,2020-10-09 05:11:43,2020-10-09 05:11:46,3.061s,PASSED
waitForPageLoad(0),Chrome 85.0.4183.121,,,2020-10-09 05:11:46,2020-10-09 05:11:46,0.061s,PASSED
delay(2),Chrome 85.0.4183.121,,,2020-10-09 05:11:46,2020-10-09 05:11:48,2.001s,PASSED
"click(findTestObject(""Object Repository/NacacStudentApp/HomePageElements/EventsHomePage""))",Chrome 85.0.4183.121,,,2020-10-09 05:11:48,2020-10-09 05:11:48,0.332s,PASSED
waitForPageLoad(0),Chrome 85.0.4183.121,,,2020-10-09 05:11:48,2020-10-09 05:11:48,0.015s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/NacacStudentApp/HomePageElements/FirstConventionName""), 0, OPTIONAL))",Chrome 85.0.4183.121,,,2020-10-09 05:11:48,2020-10-09 05:12:16,27.857s,PASSED
Start listener action : addFailedTCToList,Chrome 85.0.4183.121,,,2020-10-09 05:12:16,2020-10-09 05:12:16,0.134s,ERROR
,,,,,,,
Test Cases/Conventions/NACAC smoke test/LiveSessionsPageVerification,Chrome 85.0.4183.121,,,2020-10-09 05:12:18,2020-10-09 05:12:51,32.209s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.121,,,2020-10-09 05:12:18,2020-10-09 05:12:18,0.108s,ERROR
com.CommonUtilities.LoginAsDifferentUserPermissions.NavigateToNacacHomePage(),Chrome 85.0.4183.121,,,2020-10-09 05:12:18,2020-10-09 05:12:22,3.506s,PASSED
waitForPageLoad(0),Chrome 85.0.4183.121,,,2020-10-09 05:12:22,2020-10-09 05:12:22,0.018s,PASSED
delay(2),Chrome 85.0.4183.121,,,2020-10-09 05:12:22,2020-10-09 05:12:24,2.004s,PASSED
"click(findTestObject(""Object Repository/NacacStudentApp/HomePageElements/EventsHomePage""))",Chrome 85.0.4183.121,,,2020-10-09 05:12:24,2020-10-09 05:12:24,0.346s,PASSED
waitForPageLoad(0),Chrome 85.0.4183.121,,,2020-10-09 05:12:24,2020-10-09 05:12:24,0.042s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/NacacStudentApp/HomePageElements/FirstConventionName""), 0, OPTIONAL))",Chrome 85.0.4183.121,,,2020-10-09 05:12:24,2020-10-09 05:12:48,23.970s,PASSED
Start listener action : addFailedTCToList,Chrome 85.0.4183.121,,,2020-10-09 05:12:48,2020-10-09 05:12:48,0.120s,ERROR
